[ 2012-11-10T12:44:17+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-10T12:44:17+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003763s ]
[ 2012-11-10T12:44:17+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004034s ]
[ 2012-11-10T12:44:17+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.030569s ]
[ 2012-11-10T12:44:17+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.018315s ]
[ 2012-11-10T12:44:17+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.016294s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.016497s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.130830s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.130981s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.009693s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.002169s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001526s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002213s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015870s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001779s ]
[ 2012-11-10T12:44:18+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001868s ]
[ 2012-11-10T14:36:35+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-10T14:36:35+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000600s ]
[ 2012-11-10T14:36:35+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000741s ]
[ 2012-11-10T14:36:35+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.001978s ]
