[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005667s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.006025s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.003379s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.004075s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002779s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002871s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.045339s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.045458s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.004816s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.002782s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002042s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.005549s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015530s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002816s ]
[ 2012-11-06T18:37:55+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002924s ]
[ 2012-11-06T18:38:03+08:00 ] /php/app/index.php?s=/Index/insert | INFO: Tag[ route_check ] --START--
[ 2012-11-06T18:38:03+08:00 ] /php/app/index.php?s=/Index/insert | INFO: Run CheckRoute Behavior [ RunTime:0.007513s ]
[ 2012-11-06T18:38:03+08:00 ] /php/app/index.php?s=/Index/insert | INFO: Tag[ route_check ] --END-- [ RunTime:0.007687s ]
