[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.011492s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.011830s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.006068s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.007880s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.009868s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.010087s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.180956s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.181200s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.008074s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.011355s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006872s ]
[ 2012-11-07T19:25:33+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.010040s ]
