[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002254s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.131662s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.002631s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.007345s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002115s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002233s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.094856s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.094992s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.011108s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.001782s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001515s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002096s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.016767s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001018s ]
[ 2012-11-08T19:16:57+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001095s ]
