[ 2012-11-05T20:06:58+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-05T20:06:58+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001306s ]
[ 2012-11-05T20:06:58+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001465s ]
[ 2012-11-05T20:07:38+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-05T20:07:38+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001581s ]
[ 2012-11-05T20:07:38+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001728s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000734s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000899s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.003292s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 6   [ RunTime:0.003507s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001468s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001553s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.053999s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.054185s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.001292s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.000988s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000926s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001406s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004971s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001441s ]
[ 2012-11-05T20:48:02+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001526s ]
[ 2012-11-05T20:48:35+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-05T20:48:35+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000953s ]
[ 2012-11-05T20:48:35+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001160s ]
